Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:05"
Zeitbezug:;MEZ
Messstellen-Name:;"Br. B19, bei Krugzell"
Messstellen-Nr.:;2292
Gewässer:;Iller
Ostwert:;595253;Nordwert:;5294707;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2014-01-29 09:40:00";4,9;0,008;Geprueft
"2014-02-26 14:30:00";4,9;0,008;Geprueft
"2014-03-24 08:40:00";4,4;0,014;Geprueft
"2014-04-24 13:15:00";2,7;0,006;Geprueft
"2014-05-15 11:10:00";2,9;0,019;Geprueft
"2014-06-11 08:00:00";3,1;0,006;Geprueft
"2014-07-22 11:00:00";3,1;0,084;Geprueft
"2014-08-13 08:10:00";2,7;0,009;Geprueft
"2014-09-10 10:35:00";4,4;0,019;Geprueft
"2014-10-13 08:11:00";2,8;"< BG";Geprueft
"2014-11-05 10:50:00";2,8;0,005;Geprueft
"2014-12-08 09:15:00";4,1;0,009;Geprueft
"2017-01-11 08:35:00";5,8;0,012;Geprueft
"2017-02-01 13:40:00";5,3;0,041;Geprueft
"2017-02-08 09:00:00";4,9;0,013;Geprueft
"2017-03-08 09:05:00";4,3;0,015;Geprueft
"2017-04-05 13:00:00";3,00;0,005;Geprueft
"2017-05-03 08:20:00";2,8;0,007;Geprueft
"2017-05-29 13:50:00";2,00;"< BG";Geprueft
"2017-06-28 08:20:00";3,4;0,007;Geprueft
"2017-07-31 08:20:00";2,4;0,013;Geprueft
"2017-08-23 08:15:00";2,6;0,006;Geprueft
"2017-09-20 11:50:00";2,6;0,011;Geprueft
"2017-10-16 08:40:00";2,8;0,006;Geprueft
"2017-11-13 08:35:00";2,7;0,035;Geprueft
"2017-12-13 08:30:00";4,1;0,023;Geprueft
"2020-01-20 09:35:00";4,2;0,014;Geprueft
"2020-02-17 09:10:00";3,9;0,016;Geprueft
"2020-03-16 09:10:00";3,1;0,008;Geprueft
"2020-04-01 13:35:00";3,9;0,015;Geprueft
"2020-04-21 09:10:00";2,00;"< BG";Geprueft
"2020-05-19 10:00:00";2,3;0,007;Geprueft
"2020-06-09 09:45:00";2,4;0,011;Geprueft
"2020-07-20 09:50:00";2,2;0,01;Geprueft
"2020-08-17 09:20:00";3,1;0,006;Geprueft
"2020-09-28 10:05:00";2,2;0,009;Geprueft
"2020-10-19 08:45:00";2,9;0,01;Geprueft
"2020-11-16 09:10:00";4,8;0,019;Geprueft
"2020-12-14 09:50:00";5,00;0,02;Geprueft
